0,12069
1,5786
2,6880
3,6433
4,6195
5,5929
6,4742
7,3609
8,3164
9,2915
10,2945
11,2859
12,2965
13,2972
14,3095
15,3193
16,3375
17,3470
18,3497
19,3655
20,3736
21,3458
22,3417
23,3435
24,3324
25,2988
26,2870
27,2764
28,2458
29,2249
30,2017
31,1830
32,1513
33,1340
34,1131
35,990
36,863
37,743
38,654
39,601
40,489
41,453
42,441
43,449
44,390
45,360
46,357
47,317
48,304
49,308
50,290
51,272
52,287
53,265
54,274
55,236
56,257
57,227
58,267
59,281
60,240
61,311
62,288
63,290
64,330
65,308
66,306
67,305
68,347
69,313
70,302
71,303
72,301
73,290
74,310
75,272
76,270
77,280
78,255
79,279
80,354
81,321
82,320
83,283
84,223
85,215
86,249
87,295
88,311
89,237
90,162
91,98
92,68
93,36
94,29
95,30
96,24
97,32
98,21
99,18
100,29
101,20
102,14
103,12
104,37
105,61
106,128
107,144
108,253
109,229
110,248
111,293
112,318
113,412
114,366
115,479
116,473
117,623
118,682
119,799
120,873
121,1035
122,907
123,826
124,959
125,935
126,1031
127,1053
128,1134
129,1078
130,986
131,1053
132,976
133,1074
134,1145
135,1029
136,977
137,1000
138,898
139,887
140,865
141,865
142,900
143,849
144,861
145,918
146,953
147,908
148,875
149,914
150,954
151,1008
152,1024
153,1027
154,1070
155,1039
156,1048
157,1085
158,1029
159,1051
160,1049
161,1103
162,1109
163,1161
164,1187
165,1214
166,1321
167,1337
168,1379
169,1312
170,1321
171,1359
172,1400
173,1523
174,1634
175,1577
176,1569
177,1605
178,1667
179,1803
180,1733
181,1817
182,1848
183,1719
184,1623
185,1557
186,1450
187,1479
188,1435
189,1372
190,1369
191,1290
192,1228
193,1231
194,1200
195,1101
196,1171
197,1149
198,1234
199,1142
200,1126
201,1129
202,1175
203,1156
204,1235
205,1251
206,1298
207,1296
208,1314
209,1383
210,1458
211,1410
212,1457
213,1481
214,1500
215,1510
216,1529
217,1476
218,1460
219,1450
220,1350
221,1330
222,1248
223,1171
224,1242
225,1124
226,1164
227,1154
228,1034
229,1100
230,926
231,935
232,813
233,825
234,761
235,690
236,626
237,576
238,548
239,594
240,603
241,577
242,596
243,655
244,661
245,580
246,564
247,531
248,543
249,618
250,627
251,738
252,825
253,1165
254,1699
255,1537
